ID,IV
228,3.678961206
378,5.484619759
480,3.543035685
498,3.366022851
160,7.922751608
514,6.729607105
555,4.808368996
289,5.295195861
143,NA
632,4.573517901
546,8.371549999
166,NA
268,4.896751358
506,6.853023098
64,3.510196157
272,1.991916931
23,NA
357,5.196354475
108,5.427516623
419,NA
99,7.376515442
649,3.334963576
437,6.167047622
680,2.893593338
219,4.196359806
170,3.665034966
635,3.298183545
415,1.986350444
315,3.534347852
661,3.089293298
330,4.750470053
683,8.796556083
334,1.798619776
97,NA
460,NA
161,1.289718934
473,7.406652956
426,4.378146161
398,4.279823463
106,8.510299831
435,NA
207,4.614948433
249,NA
138,4.976727477
469,2.194795514
410,6.16277863
499,5.996111183
276,NA
112,NA
235,NA
329,6.626685024
280,4.680641177
633,2.624286916
417,5.899755027
61,4.120738179
595,9.219827004
477,5.265386111
194,4.615328468
676,7.29088139
45,6.045803457
549,3.818573061
263,6.103483167
621,3.700148359
544,3.612421794
230,NA
648,3.375817383
634,0.130930103
154,4.879401854
445,0.477386804
612,7.782598198
678,6.233475182
159,8.425174026
259,6.12497989
118,6.270197309
183,2.891177588
566,2.124953841
316,2.905450896
655,7.503796459
255,1.726274872
261,4.948666623
39,4.741510264
496,NA
264,4.341191432
603,1.413945377
671,2.758261203
653,2.707967917
248,4.418899765
87,8.393939921
103,6.710961155
396,3.032655226
619,5.275989236
463,3.624749053
371,4.130981298
482,NA
323,6.753691817
598,8.308375671
131,6.831103007
584,5.206849783
267,3.682138024
302,6.277212783
466,4.725196798
654,1.399505649
37,1.952805599
442,4.713531687
121,2.797637975
554,2.623231265
29,6.886576209
141,4.818737932
150,1.865557855
446,NA
179,6.504155742
53,4.535247835
575,5.268346893
406,NA
394,9.032976391
465,NA
543,6.497225159
66,4.530972311
163,5.553817117
182,9.065870036
353,5.704102562
279,11.31784762
168,7.202130295
153,7.241711362
339,3.764019401
432,3.429481193
232,3.688296363
324,5.974924818
49,NA
384,NA
12,4.267859105
607,1.666390501
217,1.076082312
128,1.215914474
434,5.680780328
505,NA
220,5.546718928
201,NA
636,7.979105831
208,3.404505058
515,5.881883434
41,4.228974481
274,8.887479816
67,3.65237942
107,6.888356158
295,NA
199,4.883639568
197,5.508937158
567,7.34369514
242,5.511476176
388,6.679935655
243,6.378290216
142,5.177406521
234,3.528872171
14,7.478771702
492,3.455271871
180,2.412491134
390,1.733085658
124,NA
641,4.516902967
2,4.19758331
158,6.518954295
670,5.451846022
198,0.210991448
552,NA
223,1.093816077
56,4.493211096
257,3.7889479
405,6.617993267
63,7.217538465
238,6.374321188
94,2.879531104
393,5.525021655
451,8.340431389
304,7.303736541
456,3.800387982
326,7.880226151
5,6.013232602
133,4.868880339
343,8.531124723
277,5.699326026
222,NA
336,3.23937217
389,0.65560918
476,NA
328,6.233778245
146,NA
449,6.094118201
351,2.569558631
172,9.725600966
392,NA
345,4.915259922
145,5.473235467
399,2.864862582
382,3.224601184
175,5.250060431
40,6.202822022
119,9.556582772
511,3.40561196
251,5.054517754
189,3.23643396
534,4.61791957
85,6.510783308
425,2.628376018
6,4.820170179
298,6.702518535
109,2.266258741
215,5.049696524
468,4.759003895
488,8.500897136
111,4.262447632
497,3.997115088
229,5.887110566
618,5.308553107
305,9.275983864
570,4.103002323
439,2.51015736
542,3.075602032
574,2.221632941
171,6.160270032
317,4.884467573
225,3.470210382
135,4.79408891
502,4.716944094
165,5.837791237
517,6.248985878
372,7.901232686
216,5.450691077
147,NA
359,3.394458322
604,5.941202222
340,3.742892434
81,4.822656545
609,7.009519759
245,2.452522201
513,5.171811072
122,5.414768355
74,6.578574304
226,6.179824716
363,NA
457,3.858209826
374,5.046655287
91,3.177391655
362,4.047064089
656,3.810507298
31,NA
365,3.383886261
424,5.739129255
483,6.764004564
660,5.689623357
191,6.699064569
338,4.452352994
22,5.824973622
518,1.823306062
551,5.910747986
269,1.882970577
237,4.892173797
221,4.609436199
564,3.061730263
592,5.350515682
347,NA
92,9.338897854
573,1.58486708
512,3.873133133
617,6.531501424
418,4.432614809
209,6.291634401
10,6.624301658
331,4.214447443
416,6.368028029
547,1.713584385
538,6.146493793
454,5.034490603
380,1.657907232
679,5.560405947
664,6.208963882
553,3.632203022
130,NA
377,4.059166552
152,3.889650744
265,7.453663156
214,4.851136322
622,5.412096055
652,4.775796489
526,3.816240312
346,4.52772633
531,4.628900229
532,8.398610661
136,5.942522651
278,3.266765938
27,3.596326705
227,7.448938873
3,4.137763072
610,6.100298306
452,NA
585,5.060551488
672,5.197162584
523,5.498525837
291,NA
301,3.428472305
673,5.644852428
586,4.955842054
578,5.290482786
144,5.981099993
21,7.317296882
38,7.892130891
185,2.522791746
181,6.869277221
628,8.849532919
196,6.278800153
300,2.034111331
659,8.913835366
275,6.741682231
114,NA
177,3.527953733
423,5.125628056
489,8.058199367
658,7.295023957
292,4.122586684
420,2.883823668
504,NA
614,6.641572247
200,5.392589621
485,3.71683467
116,5.488944128
15,5.115475628
668,8.80059887
400,4.762844782
403,0.358699955
322,6.30784647
576,6.89404339
313,9.52859623
429,5.530419776
650,5.581069241
123,0.767106832
589,5.760554597
33,2.94423843
157,3.637173022
637,6.109177745
580,2.784664458
70,3.507281586
565,6.012934345
187,6.86058921
436,7.113607442
125,4.941028439
677,4.071866488
46,5.295974513
674,5.241565206
370,5.715204574
308,2.742563018
89,6.873133159
355,6.372824026
481,4.891895522
44,4.52338887
629,NA
685,4.156691318
262,NA
25,1.793216916
509,3.515526426
321,5.179029788
639,2.367288001
625,8.146024504
682,4.927947265
402,NA
98,5.40032423
391,5.829362039
412,5.122703306
113,2.561289256
349,3.904494512
213,9.107772652
519,7.375152779
441,3.120238031
375,5.523501193
431,7.985257132
54,3.993304948
120,2.81927237
569,5.726003113
9,NA
479,2.481920965
195,3.749202207
93,5.230982168
186,4.891447373
478,6.559258524
657,5.927707553
587,0.931472715
644,3.012709378
210,5.018680341
541,1.127620276
68,4.956480847
32,6.848681046
640,4.934537869
134,7.356007797
385,3.12047981
484,NA
430,5.364843434
4,0.815582309
273,8.027874127
311,1.19922331
78,NA
312,3.617643258
448,8.118906111
627,NA
310,6.942588691
638,5.677932496
117,3.506650018
458,4.518558952
631,6.950986784
258,4.045400937
156,4.705280788
284,6.816684518
19,5.219760051
588,4.936205853
307,5.491455092
11,5.467299742
62,6.652137238
256,5.659897478
438,NA
540,NA
16,0.171059148
287,8.237411447
28,5.91213246
132,3.895776614
253,5.435822274
296,4.779605845
597,3.601664752
560,NA
539,4.557802782
294,3.049651746
76,7.756804205
288,7.789885519
140,4.404493718
224,7.144374093
407,1.119473649
643,3.279407487
250,7.690458093
642,5.250088058
568,6.587713159
30,4.253049654
139,5.799076052
600,7.439026597
110,NA
508,1.790569956
500,5.96862611
73,6.078645361
561,9.347715923
381,1.333999669
491,NA
368,5.575209519
164,5.740778547
590,4.534767791
421,5.737995456
60,NA
646,3.786400359
51,6.647573917
408,8.540157484
472,NA
528,8.104097547
579,NA
18,5.325467375
69,4.354579531
75,7.600711076
495,9.758222173
204,5.120440239
422,7.352635567
193,5.810331128
239,0.90265659
332,0.29990971
651,0.867125308
77,4.063512819
395,6.891874604
379,2.133923425
105,3.814564416
203,NA
286,4.168903719
520,8.592669804
450,6.338391748
293,6.781844781
254,NA
24,2.81125896
596,5.345863546
611,4.473477958
475,NA
309,2.918935785
148,7.490276136
169,4.437152581
501,5.037822696
414,5.845542565
366,6.731526535
559,5.599950149
84,0.230252025
411,NA
178,4.899863869
184,3.000559342
348,NA
252,NA
459,1.590316886
299,6.453277461
556,2.351494355
616,7.920509272
80,NA
455,7.00429568
516,6.102116709
433,3.199868975
240,5.53345331
48,6.594335567
244,1.518853519
192,6.834701215
231,6.592838413
333,1.916869011
342,6.982814965
474,1.67668444
397,3.694091986
260,NA
358,3.105552102
115,3.973697643
155,8.120576786
102,3.008876561
373,2.904904982
490,4.635096166
57,0.953794187
218,4.792862016
26,NA
665,7.697832368
8,NA
669,1.614281307
522,8.169270472
104,4.443450443
271,9.123816111
190,4.869844372
626,5.481990407
236,NA
486,8.444672187
529,6.953146741
96,3.387310519
50,2.394690045
386,4.73028047
90,NA
360,7.840065918
440,2.760638646
623,4.805187365
36,6.710891596
149,5.340414392
530,2.04898601
376,8.115471835
535,4.027275496
79,6.76619767
281,7.292670675
464,6.851739601
662,5.691611504
